RatioAdultToPW,Ccode,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,24,1.6014378,1.562137656,1.522035739,1.463728227,1.406574786,1.376935486,1.370611853,1.304513908,1.263795422,1.236026979,1.211775547,1.19625929,1.189852416,1.157502283,1.155781959,1.159292951,1.158631409,1.165770408,1.171608991,1.170564101,1.179353041,1.181599536,1.193813179,1.206900719,1.215712968,1.231282533,1.238884709,1.244545899,1.246390209,1.261469798,1.268306189,1.284989269,1.296709341,1.319147874,1.334399222,1.357234954,1.357234954
Benin,204,1.633987035,1.734187589,1.51478961,1.45713915,1.414462327,1.367997811,1.32896832,1.290480485,1.254289871,1.219592281,1.188006845,1.163465431,1.140633232,1.113621899,1.101899826,1.087871888,1.083055082,1.080441468,1.077182865,1.082444314,1.089790029,1.096806468,1.110438005,1.115938556,1.123118961,1.1320028,1.135631996,1.125312706,1.109080421,1.120361486,1.131415911,1.121440541,1.126045455,1.137160365,1.134428523,1.131057752,1.131057752
Botswana,72,1.316949201,1.26415908,1.216194874,1.168113377,1.122076007,1.071764948,1.023187114,0.983711592,0.950827603,0.920399196,0.894643756,0.871716955,0.852988774,0.838453652,0.826683569,0.817477471,0.810873005,0.806548332,0.804574957,0.806788884,0.813702603,0.824859064,0.838293091,0.854236456,0.872025757,0.890607825,0.911687462,0.935518697,0.960871768,0.986470469,1.011528745,1.037568782,1.065556256,1.095210217,1.124867231,1.153794076,1.153794076
Burkina Faso,854,1.531217481,1.436265698,1.367307573,1.310411054,1.258674828,1.213997571,1.178204964,1.150425407,1.127573964,1.109458949,1.093510003,1.085692859,1.083003924,1.081679152,1.088887222,1.097030388,1.114355315,1.132699106,1.159412542,1.183282629,1.220618867,1.256905188,1.290839599,1.320517043,1.338027608,1.355020243,1.357144886,1.358183106,1.353429084,1.357362157,1.359423274,1.36089981,1.362581739,1.362689661,1.362483136,1.362351773,1.362351773
Burundi,108,1.473528887,1.421511317,1.378740261,1.333225856,1.301710284,1.263766582,1.233287314,1.202734965,1.175492686,1.145811028,1.120750622,1.087871221,1.057504529,1.030172135,1.001487002,0.975522909,0.949268293,0.931201291,0.915329266,0.901126626,0.89313844,0.889595275,0.890826112,0.942431667,0.9524483,0.991489331,0.986651001,1.041473265,1.109355455,1.159269734,1.24704417,1.306432618,1.385003144,1.477164663,1.551058871,1.6218539,1.6218539
Cameroon,120,1.151253781,1.090872181,1.045914293,1.009402943,0.981210521,0.950709696,0.926269392,0.903240973,0.888113032,0.870390431,0.85308548,0.839798183,0.826539808,0.816575293,0.80934722,0.802466763,0.799985804,0.796540458,0.794194059,0.792005808,0.795002544,0.796282873,0.801347971,0.808115221,0.816378138,0.827660285,0.83593327,0.847409059,0.856512619,0.87300982,0.892739547,0.909682896,0.929387631,0.952437941,0.976115657,1.000064559,1.000064559
Central African Republic,140,1.627770784,1.549765517,1.493865177,1.4430125,1.394213853,1.353614249,1.320125119,1.290437027,1.266013907,1.24094183,1.219581553,1.196158522,1.180878747,1.167199954,1.151486169,1.143873365,1.136173706,1.131772837,1.130624802,1.133317794,1.136992671,1.146058501,1.163634937,1.184401347,1.218062628,1.244455882,1.272974158,1.293017139,1.308645107,1.324188912,1.338850847,1.368531742,1.391460674,1.414301931,1.433094032,1.452038943,1.452038943
Chad,148,1.503133128,1.432755463,1.381085833,1.339544625,1.300307865,1.279838423,1.25456853,1.233488557,1.219664981,1.210154738,1.199129248,1.184861081,1.175610876,1.168683108,1.159964956,1.150316097,1.14530122,1.138459035,1.134986791,1.129382509,1.123355724,1.12193652,1.128452596,1.136303189,1.157790163,1.175691308,1.195120873,1.215894164,1.23798838,1.266602538,1.298895525,1.33563583,1.38334487,1.424830377,1.483301158,1.543968533,1.543968533
Congo,178,1.327119755,1.299234937,1.273298137,1.253674411,1.237202466,1.217233748,1.204295729,1.195476385,1.185975101,1.17957244,1.175821604,1.171353776,1.171959962,1.174007751,1.175077524,1.179593182,1.18581078,1.194009381,1.201358511,1.205477928,1.2091114,1.214067595,1.217126937,1.219959448,1.225793669,1.230522124,1.241771246,1.248723975,1.256879937,1.25822161,1.256247409,1.255852377,1.258610004,1.262807406,1.262310411,1.26287791,1.26287791
Côte d'Ivoire,384,1.10248366,1.040870599,1.00028574,0.963059967,0.930793805,0.902151197,0.87969267,0.86007198,0.844184716,0.829897095,0.817599792,0.809201273,0.800628371,0.792222531,0.786968513,0.782928264,0.779999846,0.779000341,0.779847612,0.780587261,0.786511793,0.795045081,0.809846115,0.825783281,0.845538247,0.868088183,0.88527622,0.901108807,0.917895689,0.931792612,0.954146109,0.96757157,0.981133299,0.993144872,0.99600098,0.998506744,0.998506744
