Country,Region,Code,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,,24,1.5913,1.5235,1.4721,1.4233,1.3853,1.3538,1.3270,1.3065,1.2866,1.2689,1.2568,1.2444,1.2312,1.2210,1.2090,1.2059,1.2032,1.2000,1.1990,1.2002,1.2017,1.1961,1.2022,1.1988,1.1997,1.1951,1.1970,1.2005,1.2000,1.1950,1.1671,1.1392,1.1226,1.1105,1.1082,1.1235
Benin,,204,1.4979,1.4356,1.3818,1.3349,1.2976,1.2660,1.2435,1.2216,1.2042,1.1872,1.1660,1.1563,1.1419,1.1308,1.1240,1.1193,1.1221,1.1226,1.1284,1.1274,1.1352,1.1419,1.1556,1.1465,1.1457,1.0894,1.0595,1.0912,1.1242,1.1566,1.1425,1.1019,1.0928,1.1046,1.1119,1.1211
Botswana,,72,1.6691,1.5958,1.5297,1.4743,1.4091,1.3466,1.2877,1.2340,1.1863,1.1431,1.1055,1.0743,1.0485,1.0283,1.0140,1.0044,0.9990,0.9969,0.9728,0.9514,0.9345,0.8926,0.8644,0.8442,0.8600,0.8764,0.8939,0.9120,0.9291,0.9466,0.9646,0.9814,0.9985,1.0122,1.0293,1.0434
Burkina Faso,,854,1.4845,1.4086,1.3561,1.3100,1.2657,1.2282,1.1956,1.1739,1.1519,1.1375,1.1295,1.1258,1.1272,1.1305,1.1372,1.1505,1.1672,1.1881,1.2144,1.2328,1.2537,1.2702,1.2791,1.2882,1.2938,1.2781,1.2455,1.2120,1.1888,1.1617,1.1113,1.0601,1.0407,1.0245,1.0095,0.9956
Burundi,,108,3.0035,2.6043,2.2960,2.0582,1.8722,1.7307,1.6026,1.5094,1.4269,1.3484,1.2914,1.2365,1.1872,1.1473,1.1050,1.0717,1.0431,1.0229,1.0096,1.0048,1.0044,1.0086,1.0218,1.0381,1.0589,1.0816,1.1063,1.1271,1.1503,1.1708,1.1932,1.1949,1.1763,1.1900,1.2208,1.2458
Cameroon,,120,1.5798,1.5032,1.4412,1.3891,1.3484,1.3106,1.2785,1.2529,1.2324,1.2136,1.1972,1.1858,1.1782,1.1701,1.1660,1.1647,1.1635,1.1650,1.1680,1.1680,1.1668,1.1645,1.1663,1.1698,1.1740,1.1786,1.1797,1.1755,1.1646,1.1508,1.1390,1.1082,1.0683,1.0380,1.0114,0.9850
Congo,,178,1.2692,1.2522,1.2386,1.2256,1.2121,1.1989,1.1870,1.1833,1.1752,1.1756,1.1742,1.1763,1.1819,1.1885,1.1951,1.2042,1.2141,1.2265,1.2393,1.2502,1.2566,1.2631,1.2656,1.2632,1.2536,1.2424,1.2295,1.2043,1.1876,1.1827,1.1780,1.1609,1.1491,1.1355,1.1221,1.1044
Côte d'Ivoire,,384,1.5540,1.4749,1.4209,1.3713,1.3225,1.2852,1.2509,1.2238,1.2014,1.1849,1.1668,1.1553,1.1461,1.1401,1.1378,1.1362,1.1399,1.1459,1.1533,1.1603,1.1687,1.1740,1.1797,1.1837,1.1861,1.1885,1.1890,1.1877,1.1829,1.1776,1.1663,1.1014,1.0436,1.0424,1.0434,1.0463
Djibouti,,262,6.2868,4.3245,4.1763,2.9050,2.4146,2.1737,1.9201,1.7565,1.6318,1.5250,1.4311,1.3515,1.2869,1.2334,1.1814,1.1367,1.1034,1.0722,1.0492,1.0300,1.0218,1.0167,1.0202,1.0302,1.0505,1.0693,1.1027,1.1299,1.1523,1.1674,1.1617,1.1430,1.1414,1.1343,1.1327,1.1178
Democratic Republic of the Congo,,180,1.5147,1.4530,1.4034,1.3516,1.3139,1.2841,1.2517,1.2305,1.2116,1.1944,1.1775,1.1652,1.1616,1.1532,1.1519,1.1431,1.1465,1.1475,1.1436,1.1486,1.1524,1.1536,1.1587,1.1538,1.1589,1.1685,1.1650,1.1592,1.1583,1.1409,1.1238,1.1090,1.0913,1.0790,1.0674,1.0552
Eritrea,,232,1.3292,1.3045,1.2611,1.2157,1.1768,1.1496,1.1048,1.0647,1.0341,0.9904,0.9603,0.9376,0.9172,0.9047,0.8934,0.8889,0.8931,0.8962,0.8999,0.9110,0.9124,0.9332,0.9521,0.9778,1.0095,1.0428,1.0717,1.1040,1.1392,1.1701,1.1904,1.2016,1.2042,1.2004,1.1851,1.1600
Ethiopia,,231,1.3948,1.3343,1.2847,1.2458,1.2049,1.1661,1.1243,1.1049,1.0751,1.0544,1.0283,1.0183,1.0025,0.9938,0.9886,0.9854,0.9879,0.9925,1.0007,1.0105,1.0233,1.0429,1.0558,1.0759,1.0892,1.1096,1.1251,1.1413,1.1609,1.1620,1.1324,1.1046,1.0818,1.0655,1.0464,1.0451
Gabon,,266,1.1895,1.1552,1.1283,1.1043,1.0829,1.0593,1.0432,1.0309,1.0193,1.0053,0.9948,0.9841,0.9766,0.9701,0.9640,0.9579,0.9542,0.9537,0.9577,0.9629,0.9707,0.9860,1.0030,1.0241,1.0387,1.0594,1.0803,1.0971,1.1024,1.1009,1.0968,1.0862,1.0712,1.0720,1.0838,1.0981
Gambia,,270,1.4887,1.4352,1.4526,1.3948,1.3693,1.3640,1.3352,1.3012,1.2766,1.2565,1.2354,1.2105,1.1952,1.1788,1.1650,1.1495,1.1354,1.1278,1.1175,1.1134,1.1112,1.1028,1.0985,1.0989,1.0996,1.0935,1.0833,1.0706,1.0616,1.0610,1.0572,1.0406,1.0264,1.0055,0.9911,0.9757
Ghana,,288,1.8204,1.6077,1.4738,1.3819,1.3157,1.2638,1.2296,1.1971,1.1756,1.1622,1.1395,1.1303,1.1186,1.1103,1.1006,1.0979,1.0996,1.0986,1.1062,1.1093,1.1149,1.1162,1.1226,1.1301,1.1312,1.1279,1.1288,1.1161,1.1130,1.1201,1.1222,1.1104,1.1078,1.0781,1.0496,1.0389
Equatorial Guinea,,226,1.4471,1.3071,1.3307,1.4562,1.2533,1.3854,1.2850,1.3438,1.3368,1.3351,1.3085,1.3156,1.3012,1.2912,1.2814,1.2682,1.2510,1.2411,1.2225,1.2093,1.1922,1.1768,1.1604,1.1462,1.1310,1.1192,1.1054,1.0916,1.0778,1.0607,1.0666,1.0920,1.1006,1.1014,1.1017,1.0992
Guinea-Bissau,,624,2.4105,2.1565,1.9477,1.7660,1.6367,1.5434,1.4670,1.4153,1.3721,1.3393,1.3056,1.2815,1.2579,1.2269,1.2075,1.1819,1.1688,1.1497,1.1388,1.1302,1.1201,1.1110,1.1060,1.1014,1.0948,1.0905,1.0867,1.0808,1.0738,1.0698,1.0637,1.0492,1.0409,1.0315,1.0212,1.0135
Guinea,,324,1.4848,1.4219,1.3793,1.3336,1.2911,1.2498,1.2151,1.1908,1.1578,1.1395,1.1175,1.1053,1.0951,1.0907,1.0919,1.0978,1.1044,1.1119,1.1214,1.1299,1.1418,1.1460,1.1492,1.1541,1.1536,1.1487,1.1406,1.1299,1.1186,1.1142,1.0939,1.0555,1.0320,1.0118,0.9943,0.9726
Haiti,,332,1.7736,1.6575,1.5555,1.4814,1.4085,1.3522,1.3006,1.2547,1.2138,1.1827,1.1561,1.1294,1.1161,1.1024,1.0912,1.0886,1.0865,1.0921,1.0998,1.1120,1.1209,1.1317,1.1448,1.1438,1.1484,1.1558,1.1512,1.1447,1.1255,1.1034,1.0877,1.0713,1.0491,1.0268,1.0102,1.0111
Kenya,,404,1.7636,1.5063,1.3509,1.2475,1.1728,1.1122,1.0619,1.0193,0.9817,0.9487,0.9221,0.9013,0.8882,0.8829,0.8823,0.8865,0.8947,0.9053,0.9192,0.9340,0.9508,0.9679,0.9845,0.9942,1.0008,1.0091,1.0043,0.9942,0.9870,0.9786,0.9646,0.9545,0.9453,0.9347,0.9227,0.9119
Kenya,Central,4041,4.5231,1.7100,1.3150,1.2233,1.1633,1.1231,1.0738,1.0200,0.9732,0.9333,0.9002,0.8746,0.8621,0.8570,0.8624,0.8760,0.8958,0.9162,0.9424,0.9772,1.0238,1.0789,1.1444,1.2121,1.2875,1.3701,1.3909,1.4040,1.4262,1.4513,1.4779,1.5093,1.5255,1.5096,1.4785,1.4445
Kenya,Coast,4042,1.7851,1.5139,1.3606,1.2533,1.1766,1.1151,1.0681,1.0299,0.9945,0.9653,0.9404,0.9224,0.9114,0.9053,0.9052,0.9076,0.9141,0.9233,0.9369,0.9525,0.9696,0.9868,1.0026,1.0108,1.0205,1.0251,1.0216,1.0145,1.0073,0.9956,0.9758,0.9719,0.9819,0.9903,1.0002,1.0086
Kenya,Eastern,4043,5.0627,5.0627,1.8524,1.3992,1.2979,1.2337,1.1771,1.1236,1.0744,1.0211,0.9736,0.9330,0.8993,0.8777,0.8620,0.8564,0.8578,0.8611,0.8678,0.8814,0.9033,0.9331,0.9747,1.0221,1.0767,1.1249,1.1569,1.1829,1.2093,1.2260,1.2403,1.2942,1.3622,1.4243,1.4749,1.5069
Kenya,Nairobi,4044,1.7857,1.5421,1.3890,1.2948,1.2270,1.1727,1.1199,1.0672,1.0238,0.9850,0.9544,0.9341,0.9265,0.9271,0.9320,0.9393,0.9467,0.9516,0.9600,0.9721,0.9837,0.9946,1.0037,1.0039,1.0067,1.0070,0.9933,0.9728,0.9617,0.9545,0.9452,0.9484,0.9522,0.9534,0.9542,0.9547
Kenya,North Eastern,4045,1.6732,1.4340,1.3164,1.2482,1.1974,1.1376,1.0689,1.0061,0.9578,0.9305,0.9047,0.8932,0.8855,0.8822,0.8808,0.8897,0.9064,0.9308,0.9671,1.0115,1.0642,1.1091,1.1487,1.1677,1.1794,1.1844,1.1761,1.1635,1.1494,1.1286,1.0946,1.0703,1.0530,1.0353,1.0211,1.0129
Kenya,Nyanza,4046,1.7030,1.4500,1.3228,1.2367,1.1750,1.1227,1.0744,1.0304,0.9884,0.9507,0.9188,0.8948,0.8788,0.8710,0.8691,0.8718,0.8774,0.8863,0.8980,0.9119,0.9291,0.9452,0.9616,0.9699,0.9776,0.9844,0.9800,0.9714,0.9663,0.9594,0.9478,0.9365,0.9250,0.9136,0.9025,0.8933
Kenya,Rift Valley,4047,1.7827,1.5084,1.3556,1.2492,1.1765,1.1182,1.0736,1.0346,0.9992,0.9691,0.9428,0.9214,0.9075,0.9004,0.8973,0.8990,0.9020,0.9106,0.9238,0.9382,0.9560,0.9742,0.9921,1.0035,1.0121,1.0208,1.0187,1.0144,1.0135,1.0123,1.0056,0.9969,0.9893,0.9824,0.9803,0.9788
Kenya,Western,4048,1.4867,1.4066,1.3459,1.2949,1.2380,1.1846,1.1397,1.1050,1.0768,1.0491,1.0290,1.0186,1.0138,1.0155,1.0213,1.0333,1.0512,1.0739,1.1012,1.1317,1.1664,1.2025,1.2352,1.2556,1.2704,1.2865,1.2804,1.2711,1.2647,1.2605,1.2665,1.2786,1.2771,1.2695,1.2540,1.2428
Lesotho,,426,2.4405,2.2862,2.0828,1.9145,1.7933,1.6964,1.6154,1.5353,1.4528,1.3640,1.2736,1.1923,1.1326,1.0952,1.0796,1.0754,1.0784,1.0846,1.0911,1.0973,1.1008,1.1029,1.1007,1.0958,1.0936,1.0935,1.1003,1.1142,1.1237,1.1278,1.1209,1.1046,1.0976,1.0998,1.1030,1.1149
Liberia,,430,1.5978,1.5380,1.4868,1.4385,1.3932,1.3551,1.3246,1.2925,1.2698,1.2401,1.2176,1.1962,1.1830,1.1784,1.1672,1.1665,1.1621,1.1596,1.1641,1.1768,1.1884,1.1952,1.2074,1.2243,1.2295,1.2285,1.2301,1.2335,1.2397,1.2318,1.2299,1.2346,1.2359,1.2336,1.2316,1.2295
Malawi,,454,1.3604,1.3236,1.2923,1.2676,1.2437,1.2158,1.1927,1.1706,1.1528,1.1376,1.1290,1.1253,1.1248,1.1244,1.1257,1.1271,1.1290,1.1311,1.1340,1.1365,1.1388,1.1380,1.1361,1.1337,1.1300,1.1281,1.1219,1.1092,1.0957,1.0857,1.0732,1.0593,1.0481,1.0422,1.0393,1.0412
Mali,,466,1.5541,1.4764,1.4246,1.3690,1.3165,1.2700,1.2358,1.2065,1.1892,1.1703,1.1590,1.1538,1.1562,1.1572,1.1662,1.1773,1.1852,1.1998,1.2100,1.2196,1.2254,1.2194,1.2225,1.2120,1.1962,1.1895,1.1691,1.1481,1.1355,1.1379,1.1316,1.0969,1.0688,1.0366,1.0140,0.9872
Mozambique,,508,2.4384,2.1499,1.9046,1.7207,1.5576,1.4604,1.3876,1.3362,1.2957,1.2588,1.2242,1.1933,1.1679,1.1438,1.1258,1.1153,1.1038,1.0959,1.0910,1.0880,1.0879,1.0891,1.0886,1.0888,1.0926,1.0966,1.1039,1.1116,1.1120,1.0999,1.0869,1.0934,1.1086,1.1157,1.1216,1.1359
Mozambique,Center,5081,2.7640,2.3814,2.0615,1.8251,1.6521,1.5273,1.4525,1.3883,1.3376,1.2914,1.2479,1.2087,1.1772,1.1413,1.1172,1.0985,1.0818,1.0668,1.0575,1.0510,1.0464,1.0432,1.0425,1.0419,1.0441,1.0489,1.0550,1.0592,1.0576,1.0447,1.0218,1.0234,1.0441,1.0485,1.0500,1.0614
Mozambique,North,5082,3.2156,2.7364,2.3782,2.1171,1.8853,1.7346,1.6420,1.5574,1.5001,1.4401,1.3917,1.3429,1.3022,1.2788,1.2399,1.2213,1.2014,1.1851,1.1783,1.1682,1.1652,1.1569,1.1501,1.1439,1.1398,1.1367,1.1341,1.1261,1.1104,1.0790,1.0604,1.0569,1.0496,1.0396,1.0310,1.0315
Mozambique,South,5083,1.4514,1.4210,1.3731,1.3336,1.3005,1.2693,1.2555,1.2423,1.2303,1.2148,1.1955,1.1712,1.1481,1.1272,1.1045,1.0881,1.0708,1.0560,1.0393,1.0280,1.0182,1.0114,1.0008,0.9946,0.9941,0.9949,0.9964,1.0031,1.0043,0.9953,0.9932,1.0037,1.0132,1.0228,1.0375,1.0530
Namibia,,516,1.5248,1.4815,1.4413,1.4166,1.3878,1.3725,1.3425,1.3112,1.2810,1.2470,1.2102,1.1770,1.1459,1.1216,1.1006,1.0837,1.0725,1.0679,1.0660,1.0674,1.0711,1.0738,1.0765,1.0800,1.0871,1.0915,1.0603,1.0407,1.0564,1.0696,1.0861,1.0921,1.0887,1.0834,1.0762,1.0639
Nigeria,,566,1.5742,1.4990,1.4410,1.3906,1.3437,1.3105,1.2744,1.2428,1.2246,1.2005,1.1850,1.1691,1.1555,1.1435,1.1332,1.1254,1.1200,1.1168,1.1167,1.1152,1.1165,1.1173,1.1199,1.1201,1.1233,1.1222,1.1219,1.1189,1.1089,1.0952,1.0506,1.0112,1.0101,1.0137,1.0178,1.0249
Papua New Guinea,,598,6.2493,2.6952,2.3705,2.1093,1.7946,1.6777,1.5503,1.4753,1.4006,1.3412,1.2961,1.2601,1.2280,1.2010,1.1805,1.1669,1.1468,1.1353,1.1248,1.1210,1.1200,1.1221,1.1245,1.1300,1.1379,1.1478,1.1532,1.1547,1.1533,1.1552,1.1205,1.0854,1.0964,1.1076,1.1151,1.1190
Central African Republic,,140,1.3837,1.3464,1.3165,1.2862,1.2640,1.2413,1.2196,1.2017,1.1855,1.1705,1.1562,1.1422,1.1317,1.1246,1.1223,1.1224,1.1268,1.1330,1.1441,1.1557,1.1687,1.1816,1.1947,1.2046,1.2179,1.2309,1.2442,1.2539,1.2637,1.2674,1.2566,1.2285,1.2147,1.1964,1.1806,1.1613
